Title,Year,Release Date,Imbibed,Completed,Favorite
Exodus: Gods and Kings,2014,12/03/2014 00:00,TRUE,,
Exorcist II: The Heretic,1977,06/17/1977 00:00,,,
Exorcist: The Beginning,2004,08/20/2004 00:00,,,
Exotica,1994,09/29/1994 00:00,,,
Expend4bles,2023,09/15/2023 00:00,TRUE,,
Extinction,2018,07/15/2018 00:00,,,
Extraction,2020,04/23/2020 00:00,,,
Eye of the Beholder: The Art of Dungeons & Dragons,2018,08/04/2018 00:00,,,
Eyes Wide Shut,1999,07/16/1999 00:00,TRUE,,
F9,2021,05/19/2021 00:00,,,
Face/Off,1997,06/27/1997 00:00,TRUE,,
Fail Safe,1964,10/07/1964 00:00,,,
Falcon Rising,2014,09/05/2014 00:00,,,
Fallen,1998,01/16/1998 00:00,TRUE,,
Falling Down,1993,02/26/1993 00:00,TRUE,,
Fanboys,2009,02/06/2009 00:00,TRUE,,
Fantasia,1940,11/13/1940 00:00,TRUE,,
Fantasia 2000,2000,01/01/2000 00:00,,,
Fantastic Beasts and Where to Find Them,2016,11/16/2016 00:00,,,
Fantastic Beasts: The Crimes of Grindelwald,2018,11/14/2018 00:00,TRUE,,
Fantastic Beasts: The Secrets of Dumbledore,2022,04/06/2022 00:00,TRUE,,
Fantastic Four,2005,06/29/2005 00:00,TRUE,,
Fantastic Four,2015,08/05/2015 00:00,,,
Fantastic Four: Rise of the Silver Surfer,2007,06/13/2007 00:00,TRUE,,
Fantastic Fungi,2019,08/30/2019 00:00,,,
Fantastic Mr. Fox,2009,10/14/2009 00:00,,,
Fantastic Voyage,1966,08/24/1966 00:00,,,
Far from the Madding Crowd,2015,04/15/2015 00:00,,,
Far from the Madding Crowd,1967,06/18/1967 00:00,,,
Farewell My Concubine,1993,01/01/1993 00:00,,,
Fargo,1996,03/08/1996 00:00,TRUE,,
Farmlands,2019,11/01/2019 00:00,,,
Fast & Furious,2009,04/02/2009 00:00,TRUE,,
Fast & Furious 6,2013,05/21/2013 00:00,TRUE,,
Fast & Furious Presents: Hobbs & Shaw,2019,08/01/2019 00:00,TRUE,,
Fast Five,2011,04/20/2011 00:00,TRUE,,
Fast Times at Ridgemont High,1982,08/13/1982 00:00,,,
Fast X,2023,05/17/2023 00:00,TRUE,,
Faster,2010,11/23/2010 00:00,,,
Fat Albert,2004,12/25/2004 00:00,,,
Fat Man and Little Boy,1989,10/20/1989 00:00,,,
Fateful Findings,2013,05/23/2013 00:00,TRUE,,
Father of the Bride,1991,12/20/1991 00:00,TRUE,,
Father of the Bride Part II,1995,12/08/1995 00:00,TRUE,,
Father Stu,2022,04/13/2022 00:00,,,
Fear,1996,04/12/1996 00:00,,,
Fear and Desire,1953,03/31/1953 00:00,,,
Fear and Loathing in Las Vegas,1998,05/22/1998 00:00,,,
Fearless,2006,01/26/2006 00:00,TRUE,,
Fearless,1993,10/15/1993 00:00,,,
Ferdinand,2017,12/09/2017 00:00,,,
FernGully: The Last Rainforest,1992,04/10/1992 00:00,,,
Ferris Bueller's Day Off,1986,06/11/1986 00:00,TRUE,,
Fiddler on the Roof,1971,11/03/1971 00:00,,,
Field of Dreams,1989,04/21/1989 00:00,,,
Fifty Shades Darker,2017,02/08/2017 00:00,,,
Fifty Shades Freed,2018,01/17/2018 00:00,,,
Fifty Shades of Grey,2015,02/11/2015 00:00,,,
Fight Club,1999,10/15/1999 00:00,TRUE,,
"Fight, Zatoichi, Fight",1964,11/17/1964 00:00,,,
Final Analysis,1992,02/07/1992 00:00,,,
Final Destination,2000,03/17/2000 00:00,TRUE,,
Final Destination 2,2003,01/31/2003 00:00,TRUE,,
Final Destination 3,2006,02/10/2006 00:00,,,
Final Fantasy VII: Advent Children,2005,07/14/2005 00:00,TRUE,,
Final Fantasy VII: Last Order,2005,09/14/2005 00:00,,,
Final Fantasy VII: On the Way to a Smile - Episode Denzel,2009,04/16/2009 00:00,,,
Final Fantasy: The Spirits Within,2001,07/02/2001 00:00,TRUE,,
Find Me Guilty,2006,03/16/2006 00:00,TRUE,,
Finding Dory,2016,06/16/2016 00:00,TRUE,,
Finding Forrester,2000,12/21/2000 00:00,TRUE,,
Finding Graceland,1998,09/12/1998 00:00,,,
Finding Joe,2011,09/30/2011 00:00,,,
Finding Nemo,2003,05/30/2003 00:00,TRUE,,
Finding Neverland,2004,10/17/2004 00:00,,,
Fire and Ice,1983,03/25/1983 00:00,,,
Fire in Paradise,2019,09/01/2019 00:00,TRUE,,
Fire in the Sky,1993,03/12/1993 00:00,,,
Firefox,1982,06/18/1982 00:00,,,
Firestarter,1984,05/11/1984 00:00,,,
Fireworks,1997,10/30/1997 00:00,,,
First Blood,1982,10/22/1982 00:00,,,
First Kid,1996,08/30/1996 00:00,,,
First Knight,1995,07/07/1995 00:00,,,
First Man,2018,10/10/2018 00:00,,,
First Men in the Moon,1964,07/01/1964 00:00,,,
First They Killed My Father,2017,02/18/2017 00:00,,,
Fist of Fury,1972,03/22/1972 00:00,,,
Fist of Legend,1994,12/22/1994 00:00,,,
Fist of the North Star,1995,04/22/1995 00:00,TRUE,,
Fit to Kill,1993,10/27/1993 00:00,,,
Fitzcarraldo,1982,03/02/1982 00:00,,,
Five Nights at Freddy's,2023,10/25/2023 00:00,TRUE,,
Flags of Our Fathers,2006,10/19/2006 00:00,TRUE,,
Flash Gordon,1980,09/01/1980 00:00,,,
Flash Point,2007,07/26/2007 00:00,,,
Flashdance,1983,04/14/1983 00:00,,,
Flatliners,1990,08/10/1990 00:00,,,
Flavors of Youth,2018,08/04/2018 00:00,,,
Fletch,1985,05/31/1985 00:00,TRUE,,
Fletch Lives,1989,03/17/1989 00:00,TRUE,,
Flight,2012,11/02/2012 00:00,,,
Flight 93,2006,01/30/2006 00:00,,,
Flight of the Navigator,1986,07/30/1986 00:00,,,
Flight of the Phoenix,2004,12/17/2004 00:00,,,
Flightplan,2005,09/22/2005 00:00,,,
Flirting Scholar,1993,07/01/1993 00:00,,,
Flubber,1997,11/26/1997 00:00,,,
Flyboys,2006,09/22/2006 00:00,TRUE,,
Flying Swords of Dragon Gate,2011,12/15/2011 00:00,TRUE,,
"Food, Inc.",2008,09/07/2008 00:00,,,
Footloose,1984,02/17/1984 00:00,,,
For a Few Dollars More,1965,12/18/1965 00:00,,,
For Richer or Poorer,1997,12/11/1997 00:00,,,
For Your Consideration,2006,11/22/2006 00:00,,,
For Your Eyes Only,1981,06/24/1981 00:00,,,
Forbidden City Cop,1996,02/16/1996 00:00,,,
Forbidden Planet,1956,03/23/1956 00:00,,,
Ford v Ferrari,2019,11/13/2019 00:00,TRUE,,
Forgetting Sarah Marshall,2008,04/17/2008 00:00,TRUE,,
Forrest Gump,1994,06/23/1994 00:00,TRUE,,
Fortress,1992,12/18/1992 00:00,,,
Four Assassins,2013,02/19/2013 00:00,,,
Four Rooms,1995,12/09/1995 00:00,,,
Foxfire,1955,07/13/1955 00:00,,,
Fracture,2007,04/19/2007 00:00,TRUE,,
Frankenstein,1931,11/21/1931 00:00,,,
Frankenstein Meets the Wolf Man,1943,03/05/1943 00:00,,,
Frankenthumb,2002,09/24/2002 00:00,TRUE,,
Frankenweenie,2012,10/04/2012 00:00,,,
Frantz,2016,09/07/2016 00:00,,,
Freaked,1993,09/11/1993 00:00,,,
Freakonomics,2010,10/01/2010 00:00,,,
Freaks,1932,04/06/2020 08:41,,,
Freaky Friday,1976,12/17/1976 00:00,,,
Freaky Friday,2003,08/05/2003 00:00,,,
Freddy Got Fingered,2001,04/20/2001 00:00,,,
Freddy vs. Jason,2003,08/15/2003 00:00,,,
Freddy's Dead: The Final Nightmare,1991,09/05/1991 00:00,,,
Free Solo,2018,09/28/2018 00:00,,,
Free Willy,1993,07/16/1993 00:00,,,
Frida,2002,08/29/2002 00:00,,,
Friday,1995,04/26/1995 00:00,,,
Friday After Next,2002,11/22/2002 00:00,,,
Friday Night Lights,2004,10/08/2004 00:00,,,
Friday the 13th,2009,02/13/2009 00:00,,,
Friday the 13th,1980,05/09/1980 00:00,,,
Friday the 13th Part 2,1981,04/30/1981 00:00,,,
Friday the 13th Part III,1982,08/13/1982 00:00,,,
Friday the 13th Part VI: Jason Lives,1986,08/01/1986 00:00,,,
Friday the 13th Part VII: The New Blood,1988,05/13/1988 00:00,,,
Friday the 13th Part VIII: Jason Takes Manhattan,1989,07/28/1989 00:00,,,
Friday the 13th: A New Beginning,1985,03/22/1985 00:00,,,
Friday the 13th: The Final Chapter,1984,04/13/1984 00:00,,,
Friendly Persuasion,1956,10/30/1956 00:00,,,
Friends: The Reunion,2021,05/27/2021 00:00,,,
Fright Night,1985,08/02/1985 00:00,TRUE,,
Fright Night,2011,08/18/2011 00:00,TRUE,,
Fright Night 2: New Blood,2013,08/31/2013 00:00,TRUE,,
Fright Night Part 2,1988,04/07/1988 00:00,,,
Fritz the Cat,1972,04/12/1972 00:00,,,
From Beijing with Love,1994,10/13/1994 00:00,,,
From Beyond,1986,10/24/1986 00:00,,,
From Dusk Till Dawn,1996,01/19/1996 00:00,TRUE,,
From Here to Eternity,1953,08/28/1953 00:00,,,
From Paris with Love,2010,02/04/2010 00:00,,,
From Russia with Love,1963,10/10/1963 00:00,,,
From Up on Poppy Hill,2011,07/16/2011 00:00,TRUE,,
Frost/Nixon,2008,10/15/2008 00:00,,,
Frosty Returns,1992,12/01/1992 00:00,TRUE,,
Frosty the Snowman,1969,12/07/1969 00:00,TRUE,,
Frozen,2013,11/20/2013 00:00,TRUE,,
Frozen II,2019,11/20/2019 00:00,TRUE,,
Full Metal Jacket,1987,06/26/1987 00:00,TRUE,,
Fullmetal Alchemist,2017,12/01/2017 00:00,,,
Fun and Fancy Free,1947,09/27/1947 00:00,,,
Fun with Dick and Jane,2005,12/21/2005 00:00,TRUE,,
Fun with Dick and Jane,1977,03/18/1977 00:00,,,
Funny Farm,1988,06/03/1988 00:00,TRUE,,
Funny Girl,1968,09/19/1968 00:00,,,
Funny People,2009,07/30/2009 00:00,,,
Furiosa: A Mad Max Saga,2024,05/22/2024 00:00,TRUE,,
Furious 7,2015,04/01/2015 00:00,TRUE,,
Fury,2014,10/15/2014 00:00,TRUE,,
Future Cops,1993,07/15/1993 00:00,,,
Futureworld,1976,08/13/1976 00:00,,,
Fyre,2019,01/18/2019 00:00,TRUE,,
G.I. Jane,1997,08/19/1997 00:00,,,
G.I. Joe: Retaliation,2013,03/27/2013 00:00,TRUE,,
G.I. Joe: The Movie,1987,06/19/1987 00:00,,,
G.I. Joe: The Rise of Cobra,2009,08/03/2009 00:00,TRUE,,
Galaxy Express 999: Eternal Traveler Emeraldas,1980,04/03/1980 00:00,,,
Galaxy Quest,1999,12/25/1999 00:00,TRUE,,
Gallipoli,1981,08/13/1981 00:00,,,
Gallowwalkers,2012,10/27/2012 00:00,,,
Game of Death,1978,03/23/1978 00:00,,,
Gamer,2009,09/04/2009 00:00,TRUE,,
Gamera 2: Attack of Legion,1996,07/12/1996 00:00,,,
Gamera 3: Revenge of Iris,1999,03/06/1999 00:00,,,
Gamera vs. Guiron,1969,03/21/1969 00:00,,,
Gamera vs. Gyaos,1967,03/15/1967 00:00,,,
Gamera vs. Jiger,1970,03/21/1970 00:00,,,
Gamera vs. Viras,1968,03/20/1968 00:00,,,
Gamera vs. Zigra,1971,07/17/1971 00:00,,,
"Gamera, the Giant Monster",1965,11/27/1965 00:00,,,
Gangs of New York,2002,12/14/2002 00:00,TRUE,,
Gangster Squad,2013,01/09/2013 00:00,TRUE,,
Garden State,2004,07/28/2004 00:00,,,
Gaslight,1944,05/04/1944 00:00,,,
Gattaca,1997,09/07/1997 00:00,TRUE,,
Gemini Man,2019,10/02/2019 00:00,TRUE,,
Generation X,1996,02/20/1996 00:00,,,
Gentlemen Prefer Blondes,1953,07/14/1953 00:00,,,
George Carlin: Doin' It Again,1990,06/02/1990 00:00,,,
George Carlin: It's Bad for Ya!,2008,03/01/2008 00:00,,,
George Carlin: Life Is Worth Losing,2005,11/05/2005 00:00,,,
George of the Jungle,1997,07/15/1997 00:00,TRUE,,
Geostorm,2017,10/12/2017 00:00,TRUE,,
Gerald's Game,2017,09/29/2017 00:00,TRUE,,
Get Him to the Greek,2010,06/03/2010 00:00,,,
Get Shorty,1995,10/20/1995 00:00,,,
Get Smart,2008,06/19/2008 00:00,,,
Get the Gringo,2012,03/15/2012 00:00,TRUE,,
Gettysburg,1993,10/08/1993 00:00,,,
Gettysburg,2011,05/30/2011 00:00,,,
"Ghidorah, the Three-Headed Monster",1964,12/20/1964 00:00,,,
Ghost,1990,07/13/1990 00:00,,,
Ghost Dog: The Way of the Samurai,1999,10/06/1999 00:00,,,
Ghost in the Shell,2017,3/31/2017 00:00,TRUE,,
Ghost in the Shell,1995,11/18/1995 00:00,TRUE,,
Ghost Rider,2007,01/15/2007 00:00,TRUE,,
Ghost Rider: Spirit of Vengeance,2011,12/10/2011 00:00,,,
Ghost Ship,2002,10/25/2002 00:00,TRUE,,
Ghost Town,1988,05/26/1988 00:00,,,
Ghostbusters,1984,06/08/1984 00:00,TRUE,,
Ghostbusters II,1989,06/16/1989 00:00,TRUE,,
Ghostbusters: Afterlife,2021,11/18/2021 00:00,TRUE,,
Gigli,2003,08/01/2003 00:00,,,
Gladiator,2000,05/04/2000 00:00,TRUE,,
Glass,2019,01/16/2019 00:00,TRUE,,
Glengarry Glen Ross,1992,09/10/1992 00:00,TRUE,,
Glorious,2022,07/21/2022 00:00,,,
Glory,1989,12/15/1989 00:00,,,
Gnomeo & Juliet,2011,01/13/2011 00:00,,,
Go West,1925,11/01/1925 00:00,,,
God's Not Dead,2014,03/21/2014 00:00,,,
Godland,2022,12/01/2022 00:00,,,
Gods and Generals,2003,02/21/2003 00:00,,,
Gods of Egypt,2016,02/25/2016 00:00,TRUE,,
Godzilla,1954,11/03/1954 00:00,,,
Godzilla,1998,05/20/1998 00:00,TRUE,,
Godzilla,2014,05/14/2014 00:00,TRUE,,
Godzilla Against MechaGodzilla,2002,11/02/2002 00:00,,,
Godzilla Minus One,2023,11/03/2023 00:00,TRUE,,
Godzilla Raids Again,1955,04/24/1955 00:00,,,
Godzilla vs. Biollante,1989,12/16/1989 00:00,,,
Godzilla vs. Gigan,1972,03/12/1972 00:00,,,
Godzilla vs. Hedorah,1971,07/24/1971 00:00,,,
Godzilla vs. King Ghidorah,1991,12/14/1991 00:00,,,
Godzilla vs. Kong,2021,03/24/2021 00:00,TRUE,,
Godzilla vs. Mechagodzilla,1974,03/21/1974 00:00,,,
Godzilla vs. Mechagodzilla II,1993,12/11/1993 00:00,,,
Godzilla vs. Megaguirus,2000,12/16/2000 00:00,,,
Godzilla vs. Megalon,1973,03/17/1973 00:00,,,
Godzilla vs. Mothra,1992,12/12/1992 00:00,TRUE,,
Godzilla vs. SpaceGodzilla,1994,12/10/1994 00:00,,,
"Godzilla, King of the Monsters!",1956,05/18/1956 00:00,,,
Godzilla: City on the Edge of Battle,2018,05/18/2018 00:00,,,
Godzilla: King of the Monsters,2019,05/29/2019 00:00,TRUE,,
Godzilla: Planet of the Monsters,2017,11/17/2017 00:00,,,
Godzilla: The Planet Eater,2018,11/09/2018 00:00,,,
Goemon,2009,03/17/2009 00:00,,,
Going Clear: Scientology and the Prison of Belief,2015,01/25/2015 00:00,,,
GoldenEye,1995,11/16/1995 00:00,TRUE,,
Goldfinger,1964,09/20/1964 00:00,TRUE,,
Gone Fishin',1997,05/30/1997 00:00,,,
Gone Girl,2014,10/01/2014 00:00,,,
Gone in Sixty Seconds,2000,06/09/2000 00:00,TRUE,,
Gone with the Wind,1939,12/15/1939 00:00,TRUE,,
Good Burger,1997,07/25/1997 00:00,,,
"Good Morning, Vietnam",1987,12/23/1987 00:00,,,
Good Night Oppy,2022,11/04/2022 00:00,,,
Good Will Hunting,1997,12/05/1997 00:00,TRUE,,
GoodFellas,1990,09/12/1990 00:00,TRUE,,
Goosebumps,2015,08/05/2015 00:00,,,
Gor,1987,05/08/1987 00:00,,,
Gorillas in the Mist,1988,09/23/1988 00:00,,,
Gosnell: The Trial of America's Biggest Serial Killer,2018,10/12/2018 00:00,,,
Gothika,2003,11/21/2003 00:00,,,
Grace of Monaco,2014,04/22/2014 00:00,,,
Gran Torino,2008,12/12/2008 00:00,,,
Grand Prix,1966,12/21/1966 00:00,,,
Grandma's Boy,2006,01/06/2006 00:00,TRUE,,
Grave of the Fireflies,1988,04/16/1988 00:00,TRUE,,
Gravity,2013,10/03/2013 00:00,TRUE,,
Grease,1978,06/16/1978 00:00,,,
Great Expectations,1946,12/26/1946 00:00,,,
Green Lantern,2011,06/14/2011 00:00,TRUE,,
Green Snake,1993,11/04/1993 00:00,,,
Green Snake,2021,07/23/2021 00:00,,,
Gremlins,1984,06/08/1984 00:00,TRUE,,
Gremlins 2: The New Batch,1990,06/15/1990 00:00,TRUE,,
Greyhound,2020,07/09/2020 00:00,TRUE,,
Grosse Pointe Blank,1997,04/11/1997 00:00,,,
Groundhog Day,1993,02/11/1993 00:00,TRUE,,
Guardians of the Galaxy,2014,07/30/2014 00:00,TRUE,,
Guardians of the Galaxy Vol. 2,2017,04/19/2017 00:00,TRUE,,
Guardians of the Galaxy Vol. 3,2023,05/03/2023 00:00,TRUE,,
Guilty as Sin,1993,06/04/1993 00:00,,,
Gulliver's Travels,1939,11/10/1939 00:00,,,
Gundress,1999,03/20/1999 00:00,,,
Gung Ho,1986,03/14/1986 00:00,TRUE,,
Guns of the Magnificent Seven,1969,07/14/1969 00:00,,,
Gyo: Tokyo Fish Attack,2012,02/15/2012 00:00,,,
Hachi: A Dog's Tale,2009,06/08/2009 00:00,,,
Hachiko,1987,08/01/1987 00:00,,,
Hacker,2016,09/15/2016 00:00,,,
Hackers,1995,09/14/1995 00:00,TRUE,,
Hacksaw Ridge,2016,10/07/2016 00:00,TRUE,,
Hail Caesar,1994,05/11/1994 00:00,,,
Hail the Conquering Hero,1944,08/09/1944 00:00,,,
"Hail, Caesar!",2016,02/05/2016 00:00,TRUE,,
Half Baked,1998,01/16/1998 00:00,,,
Halloween,1978,10/24/1978 00:00,TRUE,,
Halloween II,1981,10/30/1981 00:00,,,
Halloween III: Season of the Witch,1982,10/22/1982 00:00,,,
Halloweentown,1998,11/10/1998 00:00,,,
Halo Legends,2010,02/16/2010 00:00,,,
Halston,2019,06/07/2019 00:00,,,
Hamilton,2020,07/03/2020 00:00,TRUE,,
Hamlet,1990,12/19/1990 00:00,,,
Hancock,2008,07/01/2008 00:00,TRUE,,
Hang 'em High,1968,04/12/1968 00:00,,,
Hanna,2011,04/07/2011 00:00,,,
Hannibal,2001,02/08/2001 00:00,,,
Hannibal Rising,2007,02/06/2007 00:00,,,
Hansel & Gretel: Witch Hunters,2013,01/17/2013 00:00,TRUE,,
Happy Death Day,2017,10/12/2017 00:00,,,
Happy Death Day 2U,2019,02/13/2019 00:00,,,
Happy Gilmore,1996,02/16/1996 00:00,TRUE,,
Happy People: A Year in the Taiga,2010,09/03/2010 00:00,,,
Harakiri,1962,09/15/1962 00:00,,,
Hard Boiled,1992,04/16/1992 00:00,,,
Hard Eight,1996,02/28/1996 00:00,,,
Hard Rain,1998,01/16/1998 00:00,,,
Hard to Kill,1990,02/09/1990 00:00,,,
Hardcore Henry,2015,09/12/2015 00:00,,,
Harold and Maude,1971,12/20/1971 00:00,,,
Harry and the Hendersons,1987,06/05/1987 00:00,,,
Harry Potter and the Chamber of Secrets,2002,11/13/2002 00:00,TRUE,,
Harry Potter and the Deathly Hallows: Part 1,2010,11/17/2010 00:00,TRUE,,
Harry Potter and the Deathly Hallows: Part 2,2011,07/12/2011 00:00,TRUE,,
Harry Potter and the Goblet of Fire,2005,11/16/2005 00:00,TRUE,,
Harry Potter and the Half-Blood Prince,2009,07/15/2009 00:00,TRUE,,
Harry Potter and the Order of the Phoenix,2007,07/08/2007 00:00,TRUE,,
Harry Potter and the Philosopher's Stone,2001,11/16/2001 00:00,TRUE,,
Harry Potter and the Prisoner of Azkaban,2004,05/31/2004 00:00,TRUE,,
Hart's War,2002,02/15/2002 00:00,,,
"Have Rocket, Will Travel",1959,08/01/1959 00:00,,,
"Have Sword, Will Travel",1969,12/25/1969 00:00,,,
Head Office,1985,06/06/1985 00:00,,,
Heartbreak Ridge,1986,12/05/1986 00:00,,,
Hearts of Darkness: A Filmmaker's Apocalypse,1991,11/27/1991 00:00,,,
Heat,1995,12/15/1995 00:00,TRUE,,
Heathers,1988,10/01/1988 00:00,,,
Heavenly Sword,2014,06/30/2014 00:00,,,
Heavy,1995,12/29/1995 00:00,,,
Heavy Metal,1981,08/07/1981 00:00,,,
Heavy Metal 2000,2000,04/19/2000 00:00,,,
Heavy Traffic,1973,08/08/1973 00:00,,,
Heavyweights,1995,02/17/1995 00:00,,,
Heist,2001,11/09/2001 00:00,TRUE,,
Hell House LLC,2015,10/16/2015 00:00,,,
Hell House LLC II: The Abaddon Hotel,2018,09/14/2018 00:00,,,
Hell House LLC Origins: The Carmichael Manor,2023,10/30/2023 00:00,,,
Hell or High Water,2016,08/11/2016 00:00,,,
Hellboy,2004,04/02/2004 00:00,TRUE,,
Hellboy Animated: Blood and Iron,2007,03/10/2007 00:00,,,
Hellboy Animated: Sword of Storms,2006,10/28/2006 00:00,,,
Hellboy II: The Golden Army,2008,07/11/2008 00:00,TRUE,,
Hellfighters,1968,11/27/1968 00:00,,,
Hellraiser,1987,09/11/1987 00:00,,,
Henry V,1944,11/24/1944 00:00,,,
Henry V,1989,10/05/1989 00:00,,,
Her,2013,12/18/2013 00:00,,,
Herbie Rides Again,1974,02/12/1974 00:00,,,
Hercules,2014,07/25/2014 00:00,TRUE,,
Hercules,1997,06/13/1997 00:00,TRUE,,
Hercules in New York,1970,02/23/1970 00:00,,,
Hero,2022,10/24/2002 00:00,TRUE,,
Hidalgo,2004,02/04/2004 00:00,,,
High and Low,1963,03/01/1963 00:00,,,
High Fidelity,2000,03/31/2000 00:00,,,
High Noon,1952,06/09/1952 00:00,,,
High Plains Drifter,1973,04/19/1973 00:00,,,
High Sierra,1941,01/23/1941 00:00,,,
Highlander,1986,03/07/1986 00:00,,,
Highlander II: The Quickening,1991,01/13/1991 00:00,,,
Hillbilly Elegy,2020,11/09/2020 00:00,,,
History of the World: Part I,1981,06/12/1981 00:00,,,
Hit Man,2024,05/16/2024 00:00,,,
Hitch,2005,02/11/2005 00:00,TRUE,,
Hitler Lives,1945,12/29/1945 00:00,,,
Hitman,2007,11/21/2007 00:00,,,
Hitman Hart: Wrestling With Shadows,1998,12/20/1998 00:00,,,
Hitman's Wife's Bodyguard,2021,06/14/2021 00:00,,,
Hoaxed,2019,01/24/2019 00:00,,,
Hobgoblins,1988,07/14/1988 00:00,,,
Hobo with a Shotgun,2011,05/06/2011 00:00,,,
Hocus Pocus,1993,07/16/1993 00:00,TRUE,,
Hoffa,1992,12/25/1992 00:00,,,
Holes,2003,04/18/2003 00:00,TRUE,,
Hollywoodland,2006,08/31/2006 00:00,,,
Holy Man,1998,10/08/1998 00:00,,,
Home Alone,1990,11/16/1990 00:00,TRUE,,
Home Alone 2: Lost in New York,1992,11/15/1992 00:00,TRUE,,
Home on the Range,2004,04/02/2004 00:00,,,
Homeward Bound II: Lost in San Francisco,1996,03/08/1996 00:00,,,
Homeward Bound: The Incredible Journey,1993,02/03/1993 00:00,,,
"Honey, I Shrunk the Kids",1989,06/23/1989 00:00,TRUE,,
Hook,1991,04/10/1991 00:00,,,
Horrible Bosses,2011,10/29/2011 00:00,TRUE,,
Horus: Prince of the Sun,1968,07/24/1968 00:00,,,
Hot Fuzz,2007,02/14/2007 00:00,TRUE,,
Hot Rod,2007,08/03/2007 00:00,,,
Hot Shots!,1991,07/31/1991 00:00,,,
Hot Shots! Part Deux,1993,05/21/1993 00:00,,,
Hotel Artemis,2018,06/07/2018 00:00,,,
Hotel Rwanda,2004,12/22/2004 00:00,,,
Hotel Transylvania,2012,09/20/2012 00:00,TRUE,,
Hotel Transylvania 2,2015,09/21/2015 00:00,TRUE,,
Hotel Transylvania 3: Summer Vacation,2018,06/28/2018 00:00,TRUE,,
Hotel Transylvania: Transformania,2022,01/31/2022 00:00,TRUE,,
House,1985,12/06/1985 00:00,,,
House of 1000 Corpses,2003,04/11/2003 00:00,,,
House of Flying Daggers,2004,08/03/2004 00:00,TRUE,,
House of Wax,1953,04/16/1953 00:00,,,
How Stella Got Her Groove Back,1998,08/14/1998 00:00,,,
How the Grinch Stole Christmas,2000,11/17/2000 00:00,TRUE,,
How the Grinch Stole Christmas!,1966,12/18/1966 00:00,TRUE,,
How to Lose a Guy in 10 Days,2003,02/07/2003 00:00,,,
How to Train Your Dragon,2010,03/18/2010 00:00,TRUE,,
How to Train Your Dragon 2,2014,06/05/2014 00:00,,,
How to Train Your Dragon: The Hidden World,2019,01/03/2019 00:00,,,
Howard the Duck,1986,08/01/1986 00:00,,,
Howl's Moving Castle,2004,09/09/2004 00:00,TRUE,,
Howling II: Stirba - Werewolf Bitch,1985,08/28/1985 00:00,,,
Hudson Hawk,1991,05/23/1991 00:00,,,
Hugo,2011,11/22/2011 00:00,TRUE,,
Hulk,2003,06/19/2003 00:00,TRUE,,
Hush,2016,03/12/2016 00:00,,,
I Am Chris Farley,2015,07/27/2015 00:00,,,
I Am Here....Now,2009,12/01/2009 00:00,,,
I Am Legend,2007,12/12/2007 00:00,TRUE,,
I Am Not a Serial Killer,2016,08/26/2016 00:00,TRUE,,
I Am Number Four,2011,02/18/2011 00:00,TRUE,,
I Care a Lot,2021,02/19/2021 00:00,,,
I Heart Huckabees,2004,09/10/2004 00:00,,,
I Know What You Did Last Summer,1997,10/17/1997 00:00,,,
I Now Pronounce You Chuck & Larry,2007,07/12/2007 00:00,,,
I Spy,2002,10/31/2002 00:00,TRUE,,
I Want to Live!,1958,11/18/1958 00:00,,,
"I, Frankenstein",2014,01/22/2014 00:00,TRUE,,
"I, Robot",2004,07/15/2004 00:00,TRUE,,
"I, Tonya",2017,12/07/2017 00:00,,,
Icarus,2017,06/03/2017 00:00,,,
Ice Age,2002,03/14/2002 00:00,TRUE,,
Ice Age: A Mammoth Christmas,2011,11/24/2011 00:00,TRUE,,
Ice Age: Collision Course,2016,06/23/2016 00:00,TRUE,,
Ice Age: Continental Drift,2012,06/27/2012 00:00,TRUE,,
Ice Age: Dawn of the Dinosaurs,2009,06/26/2009 00:00,TRUE,,
Ice Age: The Meltdown,2006,03/29/2006 00:00,TRUE,,
Ichi the Killer,2001,12/22/2001 00:00,,,
Identity,2003,04/25/2003 00:00,,,
Idiocracy,2006,09/01/2006 00:00,TRUE,,
Idle Hands,1999,04/30/1999 00:00,,,
If I Stay,2014,08/21/2014 00:00,,,
Ikiru,1952,10/09/1952 00:00,,,
Illang: The Wolf Brigade,2018,07/25/2018 00:00,,,
Ilsa: She Wolf of the SS,1975,10/01/1975 00:00,,,
Immortal Beloved,1994,12/16/1994 00:00,,,
Immortals,2011,11/10/2011 00:00,TRUE,,
In Cold Blood,1967,12/15/1967 00:00,,,
In Search of Tomorrow,2022,02/19/2022 00:00,,,
In the Army Now,1994,08/12/1994 00:00,,,
In the Company of Men,1997,03/28/1997 00:00,,,
In the Edges: The 'Grizzly Man' Session,2005,12/26/2005 00:00,,,
In the Heat of the Night,1967,08/02/1967 00:00,,,
In the Line of Fire,1993,07/08/1993 00:00,TRUE,,
In the Mood for Love,2000,09/29/2000 00:00,,,
In the Mouth of Madness,1995,02/03/1995 00:00,,,
In the Name of the Father,1993,12/12/1993 00:00,,,
In the Name of the King: A Dungeon Siege Tale,2007,11/29/2007 00:00,TRUE,,
In Time,2011,10/27/2011 00:00,,,
Inception,2010,07/15/2010 00:00,TRUE,,
Incredibles 2,2018,06/14/2018 00:00,,,
Independence Day,1996,06/25/1996 00:00,TRUE,,
